date,High_price,Low_price,Close_price,Open_price,group_volume,group_turnover,trading_session,return,y1,y2,target1,target2,group_time
2024/11/4 9:20,3914.2000000000003,3914.2000000000003,3914.2000000000003,3914.2000000000003,0,0,Day_morning,0.0023559539052497858,1,1,0,0,10
2024/11/4 9:30,3921.6,3896.6,3915.8,3901.4,8438,9899339940,Day_morning,0.00040876807521339487,1,1,1,1,10
2024/11/4 9:40,3922.8,3899.6,3902.2,3917.6,4489,5271481020,Day_morning,-0.003473109,0,0,0,0,10
2024/11/4 9:50,3923.8,3913.2,3918.2,3915,2853,3353737620,Day_morning,0.004100251140382261,1,1,1,1,10
2024/11/4 10:00,3929.2,3915,3915.2,3926.2,3086,3631114380,Day_morning,-0.000765658,0,0,0,0,10
2024/11/4 10:10,3929,3914.2,3926.2,3919.2,3000,3528944760,Day_morning,0.002809562729873205,1,1,0,0,10
2024/11/4 10:20,3926,3917.4,3919.2,3918.4,1858,2185371060,Day_morning,-0.001782894,0,0,0,0,10
2024/11/4 10:30,3919.4,3909.2,3918.4,3912,2931,3441182340,Day_morning,-0.000204123,0,0,1,1,10
2024/11/4 10:40,3918,3910,3912,3916.6,1935,2271989640,Day_morning,-0.00163332,0,0,1,1,10
2024/11/4 10:50,3923,3915.8,3916.2,3923,1743,2049368760,Day_morning,0.0010736196319018898,1,1,0,0,10
2024/11/4 11:00,3923.8,3913,3923,3916.4,1324,1556218920,Day_morning,0.0017363771002503192,1,1,1,1,10
2024/11/4 11:10,3927,3915.6,3916.4,3923.2,2667,3139123560,Day_morning,-0.001682386,0,0,1,1,10
2024/11/4 11:20,3930,3918.2,3922.6,3927.2,2726,3210068040,Day_morning,0.0015830865080175283,1,1,0,0,10
2024/11/4 11:30,3926.4,3926.4,3926.4,3926.4,2,2355960,Day_morning,0.0009687452200071167,1,1,0,0,10
2024/11/4 13:30,3919.2,3914.6,3916.6,3915.6,1226,1440732600,Day_afternoon,-0.002495925,0,0,0,0,10
2024/11/4 13:40,3920.6,3913.6,3915.6,3914.8,1257,1476928200,Day_afternoon,-0.000255323,0,0,1,1,10
2024/11/4 13:50,3926.4,3914,3914.8,3924,2121,2495257920,Day_afternoon,-0.000204311,0,0,1,1,10
2024/11/4 14:00,3936.8,3920.2,3924,3926.6,4079,4809401760,Day_afternoon,0.00235005619699602,1,1,1,1,10
